segment_id,cluster_id,cluster_name,recommended_campaign_type,recommended_channel,recommended_theme,expected_conversion
35.0,0,budget_hunters,discount,email,convenience,3.1%
10.0,2,premium_quality_seekers,premium,email,quality,2.9%
19.0,2,premium_quality_seekers,premium,email,quality,2.9%
20.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
29.0,3,convenience_seekers,educational,inapp,convenience,2.5%
30.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
39.0,2,premium_quality_seekers,premium,email,quality,2.9%
40.0,2,premium_quality_seekers,premium,email,quality,2.9%
14.0,2,premium_quality_seekers,premium,email,quality,2.9%
24.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
9.0,3,convenience_seekers,educational,inapp,convenience,2.5%
34.0,2,premium_quality_seekers,premium,email,quality,2.9%
8.0,4,multi_channel_engagers,premium,inapp,family,2.8%
7.0,2,premium_quality_seekers,premium,email,quality,2.9%
18.0,2,premium_quality_seekers,premium,email,quality,2.9%
6.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
28.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
5.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
38.0,2,premium_quality_seekers,premium,email,quality,2.9%
4.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
13.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
3.0,0,budget_hunters,discount,email,convenience,3.1%
23.0,4,multi_channel_engagers,premium,inapp,family,2.8%
2.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
33.0,3,convenience_seekers,educational,inapp,convenience,2.5%
1.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
17.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
27.0,2,premium_quality_seekers,premium,email,quality,2.9%
37.0,4,multi_channel_engagers,premium,inapp,family,2.8%
12.0,2,premium_quality_seekers,premium,email,quality,2.9%
22.0,2,premium_quality_seekers,premium,email,quality,2.9%
32.0,0,budget_hunters,discount,email,convenience,3.1%
16.0,3,convenience_seekers,educational,inapp,convenience,2.5%
26.0,3,convenience_seekers,educational,inapp,convenience,2.5%
36.0,0,budget_hunters,discount,email,convenience,3.1%
11.0,2,premium_quality_seekers,premium,email,quality,2.9%
21.0,3,convenience_seekers,educational,inapp,convenience,2.5%
31.0,1,eco_conscious_parents,educational,push,eco_conscious,2.4%
15.0,0,budget_hunters,discount,email,convenience,3.1%
25.0,0,budget_hunters,discount,email,convenience,3.1%
